Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,150.949997,151.710007,149.119995,151.570007,146.889771,6447300
2023-01-04,151.990005,153.389999,151.229996,152.229996,147.529404,7313400
2023-01-05,152.210007,152.479996,150.130005,150.339996,145.697739,5373800
2023-01-06,151.850006,154.460007,151.750000,153.919998,149.167206,7882200
2023-01-09,153.440002,154.800003,152.000000,152.039993,147.345261,5727000
2023-01-10,152.100006,152.699997,150.940002,151.889999,147.199890,4716400
2023-01-11,152.320007,152.559998,149.350006,150.660004,146.007889,8691300
2023-01-12,151.699997,151.729996,149.520004,149.809998,145.184113,7801600
2023-01-13,149.610001,151.050003,149.419998,150.880005,146.221085,5535800
2023-01-17,150.789993,152.130005,150.399994,150.440002,145.794662,9611800
2023-01-18,149.660004,149.929993,146.039993,146.410004,141.889114,10461200
2023-01-19,143.309998,146.220001,142.240005,142.419998,138.888412,12683700
2023-01-20,142.320007,143.149994,140.149994,142.970001,139.424759,8603300
2023-01-23,143.360001,143.699997,140.690002,141.050003,137.552383,7473100
2023-01-24,140.690002,142.380005,139.809998,141.820007,138.303284,6822500
2023-01-25,140.389999,141.750000,138.729996,141.720001,138.205765,6902600
2023-01-26,141.729996,141.740005,140.740005,141.149994,137.649887,5398600
2023-01-27,141.070007,141.360001,139.289993,140.570007,137.084290,6870800
2023-01-30,140.960007,142.119995,140.279999,141.009995,137.513367,6369300
2023-01-31,141.229996,142.470001,140.759995,142.380005,138.849396,9373400
2023-02-01,142.080002,144.100006,141.350006,143.190002,139.639313,7207900
2023-02-02,142.169998,142.710007,141.210007,142.169998,138.644592,6444300
2023-02-03,142.779999,143.380005,141.169998,142.610001,139.073700,5993100
2023-02-06,142.009995,142.639999,141.009995,141.399994,137.893677,6108100
2023-02-07,139.970001,140.789993,138.779999,140.020004,136.547928,6278300
2023-02-08,139.059998,139.539993,138.410004,138.570007,135.133881,7123800
2023-02-09,138.880005,139.330002,137.000000,137.050003,133.651566,6547400
2023-02-10,136.949997,138.300003,135.830002,138.259995,134.831558,8108900
2023-02-13,138.940002,140.449997,138.740005,140.070007,136.596680,5081600
2023-02-14,140.139999,140.240005,138.619995,139.279999,135.826263,5253500
2023-02-15,139.110001,139.320007,138.070007,138.960007,135.514221,5530300
2023-02-16,137.389999,138.199997,136.550003,137.139999,133.739334,7595700
2023-02-17,136.589996,140.039993,136.589996,140.009995,136.538162,8034700
2023-02-21,138.869995,140.889999,138.869995,139.910004,136.440659,6899500
2023-02-22,139.979996,141.580002,139.880005,140.500000,137.016022,6126300
2023-02-23,140.229996,141.139999,139.100006,140.050003,136.577164,5835400
2023-02-24,138.929993,139.429993,138.080002,139.259995,135.806763,5260700
2023-02-27,139.610001,140.470001,138.529999,139.139999,135.689743,5820900
2023-02-28,138.449997,138.589996,137.279999,137.559998,134.148911,6709900
2023-03-01,138.050003,138.330002,136.509995,137.660004,134.246429,7101800
2023-03-02,138.000000,140.429993,137.779999,139.929993,136.460144,5924600
2023-03-03,141.190002,141.240005,139.970001,140.949997,137.454849,5259400
2023-03-06,140.729996,141.139999,139.940002,140.350006,136.869736,4943100
2023-03-07,140.429993,140.619995,137.339996,137.559998,134.148911,5606800
2023-03-08,137.199997,137.690002,136.600006,137.580002,134.168411,5518800
